compiler,nodes,cores,batch_size,arrival_time,start_time,end_time
C2,1,2,64,1603324651.413421,1603324651.414237,1603326556.269773
C2,1,2,64,1603328344.414958,1603328344.415637,1603330269.463332
C2,1,2,64,1603328477.415568,1603330269.463805,1603331988.259476
C2,1,2,64,1603328772.416345,1603331988.26006,1603333913.732581
C2,1,2,64,1603329318.417303,1603333913.732971,1603335398.859308
C2,1,2,64,1603332160.417832,1603335398.8599,1603337171.335116
C2,1,2,64,1603332804.421813,1603337171.335536,1603338942.822764
C2,1,2,64,1603335071.422976,1603338942.823282,1603340624.316682
C2,1,2,64,1603335470.423488,1603340624.317096,1603342090.957727
C2,1,2,64,1603337622.424368,1603342090.958136,1603344027.196573
C2,1,2,64,1603337970.42552,1603344027.19712,1603345850.385458
C2,1,2,64,1603343288.426827,1603345850.386021,1603347715.192074
C2,1,2,64,1603349391.427699,1603349391.427925,1603351134.295035
C2,1,2,64,1603352291.428187,1603352291.428344,1603353931.576971
C2,1,2,64,1603356005.428752,1603356005.429011,1603357878.672611
GraalVM,1,2,64,1603377081.005399,1603377081.006245,1603378772.171819
GraalVM,1,2,64,1603380774.007208,1603380774.007904,1603382394.050565
GraalVM,1,2,64,1603380907.007693,1603382394.05072,1603384160.647445
GraalVM,1,2,64,1603381202.008022,1603384160.647964,1603385918.493275
GraalVM,1,2,64,1603381748.009091,1603385918.493736,1603387705.237871
GraalVM,1,2,64,1603384590.009798,1603387705.238168,1603389415.570953
GraalVM,1,2,64,1603385234.010113,1603389415.571482,1603390876.595952
GraalVM,1,2,64,1603387501.011043,1603390876.596309,1603392310.499413
GraalVM,1,2,64,1603387900.011578,1603392310.500018,1603394081.363787
GraalVM,1,2,64,1603390052.011921,1603394081.364439,1603395876.449915
GraalVM,1,2,64,1603390400.012287,1603395876.450114,1603397711.47238
GraalVM,1,2,64,1603395718.013188,1603397711.472932,1603399198.29605
GraalVM,1,2,64,1603401821.014292,1603401821.014564,1603403800.66118
GraalVM,1,2,64,1603404720.014971,1603404720.015161,1603406382.669998
GraalVM,1,2,64,1603408434.015536,1603408434.015687,1603409910.45052
